stem,location
"House1","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-154.yaml:14:  interactive run writes valid `palettes/{class}.json`; non-TTY `--names` path works without stdin; `cli.py palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""wall_brick_red,roof_tile_brown,window_glass,concrete,trim,shadow,highlight,mortar""` produces 8-material JSON; `npm run validate:all` green."
"House1","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-154.yaml:26:    - Acceptance: interactive run writes valid `palettes/{class}.json`; non-TTY `--names` path works without stdin; `cli.py palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""wall_brick_red,roof_tile_brown,window_glass,concrete,trim,shadow,highlight,mortar""` produces 8-material JSON; `npm run validate:all` green."
"House1","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-157.yaml:11:  Stage 1.3 Phase 3 closer. Ran `palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""...""` (TECH-154 CLI); 8 K-means clusters hand-named. Final slot mapping (sorted HSV V bright→dark): 0=`window_glass` (40,63,206), 1=`wall_brick_red` (196,178,162), 2=`roof_tile_brown` (193,75,75), 3=`concrete` (106,190,48), 4=`wall_brick_grey` (132,120,110), 5=`roof_tile_grey` (128,47,47), 6=`trim` (59,108,25), 7=`mortar` (0,0,0). Decision Log — swapped `shadow` / `highlight` slots for grey-family wall + roof variants so `apply_variant` material-family swaps resolve without `PaletteKeyError`; `.gpl` export deferred to TECH-158; 4 rendered variants read as residential (beige+red v01, grey+red v02–v03, dark-grey+dark v04). Owner signoff."
"House1","ia/state/pre-refactor-snapshot/ia/backlog-archive/TECH-157.yaml:25:    - Notes: Stage 1.3 Phase 3 closer. Ran `palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png"" --names ""...""` (TECH-154 CLI); 8 K-means clusters hand-named. Final slot mapping (sorted HSV V bright→dark): 0=`window_glass` (40,63,206), 1=`wall_brick_red` (196,178,162), 2=`roof_tile_brown` (193,75,75), 3=`concrete` (106,190,48), 4=`wall_brick_grey` (132,120,110), 5=`roof_tile_grey` (128,47,47), 6=`trim` (59,108,25), 7=`mortar` (0,0,0). Decision Log — swapped `shadow` / `highlight` slots for grey-family wall + roof variants so `apply_variant` material-family swaps resolve without `PaletteKeyError`; `.gpl` export deferred to TECH-158; 4 rendered variants read as residential (beige+red v01, grey+red v02–v03, dark-grey+dark v04). Owner signoff."
"House1","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:53:- Promoted sprite in `Assets/Sprites/Generated/` loads in Unity with PPU=64, pivot computed as `(0.5, 16/canvas_height)`, Point filter, no compression — validated against `Assets/Sprites/Residential/House1-64.png` reference"
"House1","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:58:**Art:** `Assets/Sprites/Residential/House1-64.png` — palette extraction reference (existing). `Assets/Sprites/Slopes/` — slope code reference (existing, 17 land variants). `Assets/Sprites/Generated/` — promote destination (new)."
"House1","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:64:- `Assets/Sprites/Residential/House1-64.png` — K-means palette extraction source + promote/pivot validation reference"
"House1","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:141:**Objectives:** Implement K-means palette extraction from existing sprites, per-class palette JSON files, and 3-level ramp enforcement at composition time. Wire palette into `compose.py` so each primitive face pulls correct ramp color from the loaded palette. Bootstrap `palettes/residential.json` from `Assets/Sprites/Residential/House1-64.png`. Add Aseprite `.gpl` round-trip (Tier 1 editor integration) so human-curated palettes can override K-means output per class."
"House1","ia/state/pre-refactor-snapshot/ia/projects/sprite-gen-master-plan.md:170:| T1.3.6 | Bootstrap residential palette | 3 | **TECH-157** | Done (archived) | Run `palette extract residential --sources ""Assets/Sprites/Residential/House1-64.png""` (or equivalent direct call); hand-name 8 clusters → produce `tools/sprite-gen/palettes/residential.json` with at minimum: wall_brick_red, roof_tile_brown, window_glass, concrete; check in JSON file |"
"LightResidentialBuilding-2-128","ia/state/db-snapshot-metadata.sql:2240:> - **L10 (2026-04-23):** Art calibration ground truth = `docs/sprite-gen-art-design-system.md` (DAS). Every Stage 6+ task cites a DAS section (e.g. ""per DAS §4.2"") rather than re-specifying rules inline. Audit corpus = all 197 sprites under `Assets/Sprites/` excluding Icons/Buttons/State/Roads. Primary reference: `House1-64.png` for 1×1; `LightResidentialBuilding-2-128.png` for 2×2; `HeavyIndustrialBuilding-1-192.png` for 3×3."
"LightResidentialBuilding-2-128","ia/state/db-snapshot-metadata.sql:5094:- Regression tests per archetype: render → assert bbox height matches reference (`MediumResidentialBuilding-2-128.png` / `LightResidentialBuilding-2-128.png` / `LightCommercialBuilding-2-128.png`) within ±3 px.', 'pending', 'ia/projects/sprite-gen-master-plan.md', '2026-04-24 14:37:53.117283-04', '2026-04-24 17:36:40.747401-04');"
"MediumResidentialBuilding-2-128","ia/state/db-snapshot-metadata.sql:5094:- Regression tests per archetype: render → assert bbox height matches reference (`MediumResidentialBuilding-2-128.png` / `LightResidentialBuilding-2-128.png` / `LightCommercialBuilding-2-128.png`) within ±3 px.', 'pending', 'ia/projects/sprite-gen-master-plan.md', '2026-04-24 14:37:53.117283-04', '2026-04-24 17:36:40.747401-04');"
